id,fund_id,type,quota_name,wallet_external_id
192,140,Senior,MAKENA FIDC SR,45938236
197,123,Classe única,MULTIBANK FIDC,29494000
198,152,Sub,NETMONEY FIDC,50824501
199,151,Sub,NOBEL 2 FIDC,50823781
200,151,Senior,NOBEL 2 FIDC Sr,50823782
201,159,Classe única,Norde FIDC,52200741
202,154,Sub,Gooroo Fidc,51295720
203,154,Mezanino,Gooroo Fidc Mz2,51295721
204,154,Senior,Gooroo Fidc Sr,51295722
205,127,Classe única,PREC BR FIDC,37780694
208,117,Sub,Silver Stone SB,26000055
215,106,Sub,UNAVAN FIDC SUB,13327334
216,114,Sub,Urbano FIDC,23773276
217,114,Mezanino,Urbano FIDC MEZ ORD,23773278
218,114,Senior,Urbano FIDC SR II,23773277
219,145,Classe única,WCAPITAL FIDC,49460350
220,148,Classe única,Zermatt FICFIM,50379367
221,101,Senior,Cota Sênior,55074369
222,101,Sub,Cota Sub,55074368
223,29,Senior,COTA SÊNIOR DA 4ª SÉRIE FACIO FIDC,51119655
224,29,Mezanino,COTA MEZANINO DA 2ª SÉRIE FACIO FIDC,51119650
225,129,Classe única,Coinvest FICFIDC,39851520
226,78,Sub,Coinvest FIDC Jr,39851553
227,78,Senior,Coinvest FIDC Sr,39851555
234,102,Sub,FIDC Citrino Con,52649689
236,102,Classe B,FIDC Citrino B,52649690
243,167,Senior,Cota Senior FIDC Coruja,57140605
244,167,Sub,Cota Sub Junior FIDC Coruja,57140603
247,114,Mezanino,Urbano MEZ PREF,23773279
248,114,Senior,Urbano FIDC SR3,23773280
252,108,Sub,Metropolitana SB,18114024
255,165,Senior,Cota Sênior,57378464
256,165,Mezanino,Cota Mezanino,57378465
257,165,Sub,Cota Sub,57378463
258,75,Classe única,Monoclasse,53765941
260,163,Senior,Cota Sênior,57053396
261,163,Sub,Cota Junior,57053395
263,184,Classe única,Cota Unica Bancor II,51555510
264,162,Senior,Cota Sênior FIDC Green Solfacil VI,57028409
265,162,Mezanino,Cota Mezanino A FIDC Green Solfacil VI,57028407
266,162,Mezanino,Cota Mezanino B FIDC Green Solfacil VI,57028408
267,162,Sub,Cota Sub Junior FIDC Green Solfacil VI,57028406
268,168,Senior,Senior,57270667
269,168,Sub,Sub,57270666
270,160,Senior,COTA SENIOR FIDC CONDOLIVRE,42317296
271,160,Mezanino,COTA MEZANINO FIDC CONDOLIVRE,42317297
272,160,Sub,COTA SUB JR FIDC CONDOLIVRE,42317295
402,73,Sub,COTA SUB JUNIOR FIDC PJBANK,56190298
404,72,Sub,Cota subordinada GWM,56112240
405,72,Senior,COTA SENIOR GMW,56112241
406,166,Sub,CUB FIDC SUB,57258316
407,203,Senior,COTA SENIOR FIM J17,54252146
408,203,Senior,COTA SENIOR 2 FIM J17,54252147
409,203,Mezanino,COTA MEZANINO FIDC J17,54252145
